N,Fecha colapso,Nombre,Tipo de Puente,Causa principal,Material,Colapso,Estado,Pais
1275,No date,Nueces Bay Causeway,Viga,Socavon,Acero,Parcial,Servicio,USA
1276,No date,Sangamon River Bridge,Armadura,Socavon,Acero,Parcial,Servicio,USA
1277,No date,Waubonsie Creek Bridge,Viga,Socavon,Acero,Parcial,Servicio,USA
1278,No date,South Front Street Bridge,Armadura,Socavon,Acero,Parcial,Servicio,USA
1279,2010,Stone Arch Bridge,Armadura,Socavon,Hormig�n armado,Parcial,Servicio,USA
1280,1989,Tennessee,Viga,Socavon,Hormig�n armado,Parcial,Servicio,USA
1281,2011,New York,Arco,Socavon,Hormig�n armado,Parcial,Servicio,USA
1282,2017,California,Viga,Socavon,Hormig�n armado,Parcial,Servicio,USA
1283,1933,Maryland,Viga,Socavon,Hormig�n armado,Parcial,Servicio,USA
1284,2005,Louisiana,Trestle,Socavon,No definido,Parcial,Servicio,USA
1285,2005,Mississippi,Trestle,Socavon,No definido,Parcial,Servicio,USA
1286,2015,California,No definido,Socavon,No definido,Parcial,Servicio,USA
1287,1965,South Carolina,No definido,Socavon,No definido,Parcial,Servicio,USA
1288,1999,Tennessee,No definido,Socavon,No definido,Parcial,Servicio,USA
1289,1962,South Dakota,Viga,Socavon,Acero,Total,Construccion,USA
1290,1964,Montana,Armadura,Socavon,Acero,Total,Servicio,USA
1291,1989,Mississippi,Armadura,Socavon,Acero,Total,Servicio,USA
1292,1996,Pennsylvania,Armadura,Socavon,Acero,Total,Servicio,USA
1293,1998,New York,Viga,Socavon,Acero,Total,Servicio,USA
1294,2004,Missouri,Viga,Socavon,Acero,Total,Servicio,USA
1295,2005,New York,Viga,Socavon,Acero,Total,Servicio,USA
1296,2011,New York,Arco,Socavon,Acero,Total,Servicio,USA
1297,2011,New York,Viga,Socavon,Acero,Total,Servicio,USA
1298,2011,New York,Armadura,Socavon,Acero,Total,Servicio,USA
1299,1986,Nevada,Viga,Socavon,Hormig�n armado,Total,Construccion,USA
1300,1987,New Hampshire,No definido,Socavon,Hormig�n armado,Total,Servicio,USA
1301,1977,New York,Puente movible,Socavon,Hormig�n armado,Total,Servicio,USA
1302,1987,New York,No definido,Socavon,Hormig�n armado,Total,Servicio,USA
1303,1989,Tennessee,Viga,Socavon,Madera,Total,Servicio,USA
1304,1999,Mississippi,No definido,Socavon,Madera,Total,Servicio,USA
1305,1962,Iowa,No definido,Socavon,No definido,Total,Servicio,USA
1306,1995,California,No definido,Socavon,No definido,Total,Servicio,USA
1307,1972,Maryland,Viga,Socavon,PC,Total,Servicio,USA
1308,1995,South Carolina,No definido,Socavon,PC,Total,Servicio,USA
1309,2007,C?n Th?,Atirantado,Socavon,Hormig�n armado,Parcial,Construccion,Vietnam
1310,2018,Palu IV,Arco,Tsunami,Acero,Total,Servicio,Indonesia
