N°,Date,Name,Type,Cause,Material,Collapse,Status,Country,Region,Sub-region,,,,,
311,No date,no definido,Beam,Construction deficiencies,Steel,Total,Operational,Turkye,Europe/Asia,Western Asia/ Eastern Europe ,,,,,
312,No date,no definido,Beam,Construction deficiencies,Steel,Partial,Operational,Turkye,Europe/Asia,Western Asia/ Eastern Europe ,,,,,
313,No date,no definido,Suspension,Construction deficiencies,Steel,Total,Operational,Turkye,Europe/Asia,Western Asia/ Eastern Europe ,,,,,
314,No date,no definido,Suspension,Construction deficiencies,Steel,Partial,Operational,Turkye,Europe/Asia,Western Asia/ Eastern Europe ,,,,,
315,No date,no definido,Suspension,Construction deficiencies,Steel,Partial,Operational,Turkye,Europe/Asia,Western Asia/ Eastern Europe ,,,,,
316,2015,Pennsylvania,Beam,Construction deficiencies,Reinforced concrete,Partial,Construction,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
317,2003,California,Beam,Construction deficiencies,Reinforced concrete,Partial,Construction,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
318,2009,California,Not defined,Construction deficiencies,Not defined,Partial,Operational,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
319,1927,New Jersey,Suspension,Construction deficiencies,Not defined,Partial,Construction,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
320,1970,Florida,Not defined,Construction deficiencies,Not defined,Partial,Operational,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
321,2004,Colorado,Not defined,Construction deficiencies,Reinforced concrete,Total,Construction,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
322,1887,Massachusetts,Beam,Construction deficiencies,Steel,Total,Operational,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
323,1887,Bussey,Arch,Construction deficiencies,Steel,Total,Operational,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
324,2002,New York,Not defined,Construction deficiencies,Reinforced concrete,Total,Construction,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
325,1981,Missouri,Suspension,Construction deficiencies,Wood,Total,Operational,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
326,2015,Ohio,Not defined,Construction deficiencies,Not defined,Total,Construction,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
327,2010,Gungahlin,Beam,Construction deficiencies,Reinforced concrete,Partial,Construction,Australia,Australasia,Northern Australia/ Central Australia/ Southern Australia/ Eastern Australia ,,,,,
328,1879,Tay rail,Beam,Construction deficiencies,Steel,Total,Operational,United Kingdom,Europe,Northern Europe,,,,,
329,1882,Inverythan,Beam,Construction deficiencies,Steel,Total,Operational,United Kingdom,Europe,Northern Europe,,,,,
330,1884,Camberwell,Beam,Construction deficiencies,Steel,Total,Operational,United Kingdom,Europe,Northern Europe,,,,,
331,1967,Bickton Meadows,Beam,Construction deficiencies,Reinforced concrete,Partial,Operational,United Kingdom,Europe,Northern Europe,,,,,
332,1894,Stargard RC,Arch,Construction deficiencies,Reinforced concrete,Total,Construction,Germany,Europe,Western and Central Europe,,,,,
333,1902,Cornelius,Not defined,Construction deficiencies,Not defined,Total,Construction,Germany,Europe,Western and Central Europe,,,,,
334,1905,Heidelberg,Truss,Construction deficiencies,Steel,Partial,Construction,Germany,Europe,Western and Central Europe,,,,,
335,1923,Flensburg,Arch,Construction deficiencies,Rock,Total,Construction,Germany,Europe,Western and Central Europe,,,,,
336,1954,Kaiserslautern,Not defined,Construction deficiencies,Reinforced concrete,Partial,Construction,Germany,Europe,Western and Central Europe,,,,,
337,1956,Nordbrücke,Not defined,Construction deficiencies,Not defined,Partial,Construction,Germany,Europe,Western and Central Europe,,,,,
338,1960,Leda,Truss,Construction deficiencies,Reinforced concrete,Partial,Operational,Germany,Europe,Western and Central Europe,,,,,
339,1961,Limburg,Beam,Construction deficiencies,Reinforced concrete,Partial,Construction,Germany,Europe,Western and Central Europe,,,,,
340,1963,Heidingsfeld,Beam,Construction deficiencies,Reinforced concrete,Partial,Construction,Germany,Europe,Western and Central Europe,,,,,
341,1966,Vorland Rees-Kalkar,Beam,Construction deficiencies,Reinforced concrete,Partial,Construction,Germany,Europe,Western and Central Europe,,,,,
342,1968,A2,Not defined,Construction deficiencies,Not defined,Partial,Operational,Germany,Europe,Western and Central Europe,,,,,
343,1971,Wenigsen,Not defined,Construction deficiencies,Not defined,Partial,Construction,Germany,Europe,Western and Central Europe,,,,,
344,1971,Koblenz,Beam,Construction deficiencies,Steel,Partial,Construction,Germany,Europe,Western and Central Europe,,,,,
345,1972,Hangbrücke,Beam,Construction deficiencies,Not defined,Partial,Construction,Germany,Europe,Western and Central Europe,,,,,
346,1973,Zeulenroda,Beam,Construction deficiencies,Steel,Partial,Construction,Germany,Europe,Western and Central Europe,,,,,
347,1974,Kempten,Not defined,Construction deficiencies,Not defined,Total,Construction,Germany,Europe,Western and Central Europe,,,,,
348,1977,Bad Cannstatt,Truss,Construction deficiencies,Wood,Total,Construction,Germany,Europe,Western and Central Europe,,,,,
349,1982,no definido,Truss,Construction deficiencies,Steel,Total,Construction,Germany,Europe,Western and Central Europe,,,,,
350,1982,Dedensen,Beam,Construction deficiencies,Reinforced concrete,Total,Construction,Germany,Europe,Western and Central Europe,,,,,
351,1985,Grosshessenlohe,Truss,Construction deficiencies,Reinforced concrete,Partial,Construction,Germany,Europe,Western and Central Europe,,,,,
352,1988,Aschaffenburg,Not defined,Construction deficiencies,Not defined,Total,Construction,Germany,Europe,Western and Central Europe,,,,,
353,1995,Cologne-Wahn Airport,Beam,Construction deficiencies,Reinforced concrete,Partial,Construction,Germany,Europe,Western and Central Europe,,,,,
354,1970,West Gate,Beam,Construction deficiencies,Reinforced concrete,Total,Construction,Australia,Australasia,Northern Australia/ Central Australia/ Southern Australia/ Eastern Australia ,,,,,
355,1962,King street,Not defined,Construction deficiencies,Not defined,Partial,Operational,Australia,Australasia,Northern Australia/ Central Australia/ Southern Australia/ Eastern Australia ,,,,,
356,1891,Bergbrücke,Truss,Construction deficiencies,Steel,Total,Construction,Austria,Europe,Western and Central Europe,,,,,
357,1969,Fourth Danube,Beam,Construction deficiencies,Reinforced concrete,Partial,Construction,Austria,Europe,Western and Central Europe,,,,,
358,1970,Soboth,Beam,Construction deficiencies,Reinforced concrete,Total,Construction,Austria,Europe,Western and Central Europe,,,,,
359,1975,Tauern,Beam,Construction deficiencies,Reinforced concrete,Partial,Construction,Austria,Europe,Western and Central Europe,,,,,
360,1982,Rhine,Not defined,Construction deficiencies,Not defined,Partial,Construction,Austria,Europe,Western and Central Europe,,,,,
361,1978,Mathabhanga,Beam,Construction deficiencies,Reinforced concrete,Total,Operational,Bangladesh,Asia,South Asia,,,,,
362,1966,Boudewijnsnelweg,Beam,Construction deficiencies,Reinforced concrete,Partial,Operational,Belgium,Europe,Western and Central Europe,,,,,
363,1940,Herenthalsoolen,Arch,Construction deficiencies,Steel,Partial,Operational,Belgium,Europe,Western and Central Europe,,,,,
364,1940,Haulille,Arch,Construction deficiencies,Steel,Partial,Operational,Belgium,Europe,Western and Central Europe,,,,,
365,1970,Niteroi,Beam,Construction deficiencies,Reinforced concrete,Partial,Construction,Brazil,Central /SouthAmerica,Northern South America/ South-Eastern South America,,,,,
366,1971,Paulo de Fronton,Truss,Construction deficiencies,Reinforced concrete,Total,Construction,Brazil,Central /SouthAmerica,Northern South America/ South-Eastern South America,,,,,
367,2004,Mungo,Beam,Construction deficiencies,Steel,Partial,Operational,Cameroon,Africa,Central Africa,,,,,
368,1857,Desjardins,Beam,Construction deficiencies,Steel,Total,Operational,Canada,North America,Canada Ontario/ Canada British Columbia/ Canada Prairies/ Canada Québec/ Canada Western Arctic/ Canada Eastern Arctic/ Canada Atlantic,,,,,
369,2000,Boulevard du Souvenir,Beam,Construction deficiencies,Reinforced concrete,Total,Operational,Canada,North America,Canada Ontario/ Canada British Columbia/ Canada Prairies/ Canada Québec/ Canada Western Arctic/ Canada Eastern Arctic/ Canada Atlantic,,,,,
370,1916,Quebec,Truss,Construction deficiencies,Steel,Partial,Construction,Canada,North America,Canada Ontario/ Canada British Columbia/ Canada Prairies/ Canada Québec/ Canada Western Arctic/ Canada Eastern Arctic/ Canada Atlantic,,,,,
371,1957,Dawson-Creek,Suspension,Construction deficiencies,Reinforced concrete,Partial,Operational,Canada,North America,Canada Ontario/ Canada British Columbia/ Canada Prairies/ Canada Québec/ Canada Western Arctic/ Canada Eastern Arctic/ Canada Atlantic,,,,,
372,1958,Second Narrows,Beam,Construction deficiencies,Not defined,Total,Construction,Canada,North America,Canada Ontario/ Canada British Columbia/ Canada Prairies/ Canada Québec/ Canada Western Arctic/ Canada Eastern Arctic/ Canada Atlantic,,,,,
373,1966,Rideau,Arch,Construction deficiencies,Reinforced concrete,Total,Construction,Canada,North America,Canada Ontario/ Canada British Columbia/ Canada Prairies/ Canada Québec/ Canada Western Arctic/ Canada Eastern Arctic/ Canada Atlantic,,,,,
374,1982,Elwood,Arch,Construction deficiencies,Reinforced concrete,Total,Construction,Canada,North America,Canada Ontario/ Canada British Columbia/ Canada Prairies/ Canada Québec/ Canada Western Arctic/ Canada Eastern Arctic/ Canada Atlantic,,,,,
375,1984,Sept-Iles,Beam,Construction deficiencies,Reinforced concrete,Total,Construction,Canada,North America,Canada Ontario/ Canada British Columbia/ Canada Prairies/ Canada Québec/ Canada Western Arctic/ Canada Eastern Arctic/ Canada Atlantic,,,,,
376,2006,Boulevard de la Concorde,Not defined,Construction deficiencies,Reinforced concrete,Partial,Operational,Canada,North America,Canada Ontario/ Canada British Columbia/ Canada Prairies/ Canada Québec/ Canada Western Arctic/ Canada Eastern Arctic/ Canada Atlantic,,,,,
377,2009,Hongqi,Beam,Construction deficiencies,Not defined,Total,Operational,China,Asia,East Asia ,,,,,
378,2012,Guangchang Hedong,Not defined,Construction deficiencies,Reinforced concrete,Partial,Operational,China,Asia,East Asia ,,,,,
379,2018,Zheijang,Not defined,Construction deficiencies,Not defined,Total,Operational,China,Asia,East Asia ,,,,,
380,1999,Chongjng,Arch,Construction deficiencies,Steel,Total,Operational,China,Asia,East Asia ,,,,,
381,2005,Xiaojianshan,Beam,Construction deficiencies,Reinforced concrete,Total,Construction,China,Asia,East Asia ,,,,,
382,1993,Samana,Not defined,Construction deficiencies,Reinforced concrete,Total,Operational,Colombia,Central /SouthAmerica,Northern South America,,,,,
383,1994,Los Angeles,Not defined,Construction deficiencies,Reinforced concrete,Total,Operational,Colombia,Central /SouthAmerica,Northern South America,,,,,
384,1995,Heredia,Not defined,Construction deficiencies,Reinforced concrete,Total,Operational,Colombia,Central /SouthAmerica,Northern South America,,,,,
385,1996,Pescadero,Not defined,Construction deficiencies,Steel,Total,Operational,Colombia,Central /SouthAmerica,Northern South America,,,,,
386,1998,Recio,Not defined,Construction deficiencies,Not defined,Partial,Operational,Colombia,Central /SouthAmerica,Northern South America,,,,,
387,1999,Autonorte y 122,Not defined,Construction deficiencies,Reinforced concrete,Partial,Operational,Colombia,Central /SouthAmerica,Northern South America,,,,,
388,2018,Chirajara,Not defined,Construction deficiencies,Reinforced concrete,Partial,Operational,Colombia,Central /SouthAmerica,Northern South America,,,,,
389,1994,Seongsu,Arch,Construction deficiencies,Reinforced concrete,Partial,Operational,Corea,Asia, East Asia,,,,,
390,2007,no definido,Not defined,Construction deficiencies,Not defined,Partial,Construction,Corea,Asia, East Asia,,,,,
391,1981,Cheju,Suspension,Construction deficiencies,Reinforced concrete,Total,Construction,Corea,Asia, East Asia,,,,,
392,1994,Sungsu,Truss,Construction deficiencies,Reinforced concrete,Partial,Operational,Corea,Asia, East Asia,,,,,
393,1972,Fiskebækbroen,Beam,Construction deficiencies,Reinforced concrete,Partial,Construction,Denmark,Europe,Northern Europe,,,,,
394,1971,Ringsted,Beam,Construction deficiencies,Reinforced concrete,Partial,Construction,Denmark,Europe,Northern Europe,,,,,
395,2006,Aalborg,Beam,Construction deficiencies,Reinforced concrete,Partial,Construction,Denmark,Europe,Northern Europe,,,,,
396,2006,Zamora,Not defined,Construction deficiencies,Concrete,Partial,Operational,Ecuador,Central /SouthAmerica,Northwestern South America,,,,,
397,2009,Pichincha,Not defined,Construction deficiencies,Concrete,Total,Construction,Ecuador,Central /SouthAmerica,Northwestern South America,,,,,
398,2010,Guayas,Not defined,Construction deficiencies,Concrete,Partial,Construction,Ecuador,Central /SouthAmerica,Northwestern South America,,,,,
399,2010,Guayas,Not defined,Construction deficiencies,Concrete,Partial,Operational,Ecuador,Central /SouthAmerica,Northwestern South America,,,,,
400,2011,Manabi,Not defined,Construction deficiencies,Concrete,Total,Construction,Ecuador,Central /SouthAmerica,Northwestern South America,,,,,
401,2014,Napo,Not defined,Construction deficiencies,Steel,Total,Operational,Ecuador,Central /SouthAmerica,Northwestern South America,,,,,
402,1982,Brenes,Not defined,Construction deficiencies,Not defined,Total,Operational,Spain,Europe,Southern Europe,,,,,
403,2010,Myllysilta,Not defined,Construction deficiencies,Not defined,Partial,Operational,Finland,Europe,Northern Europe ,,,,,
404,1881,Miramont,Truss,Construction deficiencies,Steel,Total,Construction,France,Europe,Western and Central Europe,,,,,
405,1978,Bihar,Not defined,Construction deficiencies,Not defined,Total,Construction,India,Asia,South Asia,,,,,
406,2004,Dombivli,Not defined,Construction deficiencies,Not defined,Total,Construction,India,Asia,South Asia,,,,,
407,1996,Grogol,Not defined,Construction deficiencies,Not defined,Partial,Construction,Indonesia,Asia,Southeast Asia,,,,,
408,2004,Suramadu,Beam,Construction deficiencies,Reinforced concrete,Total,Construction,Indonesia,Asia,Southeast Asia,,,,,
409,1997,Maccabiah,Beam,Construction deficiencies,Reinforced concrete,Total,Operational,Israel,Asia,West Asia,,,,,
410,2017,Camerano,Not defined,Construction deficiencies,Not defined,Total,Operational,Italy,Europe,Southern Europe ,,,,,
411,2018,Ponte Morandi,Beam,Construction deficiencies,Reinforced concrete,Partial,Construction,Italy,Europe,Southern Europe ,,,,,
412,2020,Caprigliola,Arch,Construction deficiencies,Reinforced concrete,Total,Operational,Italy,Europe,Southern Europe ,,,,,
413,1984,Tama,Beam,Construction deficiencies,Reinforced concrete,Total,Construction,Japon,Asia,East Asia,,,,,
414,1991,Hiroshima,Not defined,Construction deficiencies,Not defined,Total,Construction,Japon,Asia,East Asia,,,,,
415,1967,Mexico City,Beam,Construction deficiencies,Not defined,Total,Construction,Mexico,North America,Mexico Northwest/ Mexico North/ Mexico Northeast/ Mexico Southeast/ Mexico Southwest/ Mexico Veracruz/ Mexico Centre,,,,,
416,2013,E6 at Lade,Not defined,Construction deficiencies,Not defined,Total,Construction,Norway,Europe,Northern Europe ,,,,,
417,2016,Perkolo,Truss,Construction deficiencies,Composite ,Total,Operational,Norway,Europe,Northern Europe ,,,,,
418,2022,Tretten,Truss,Construction deficiencies,Composite ,Total,Operational,Norway,Europe,Northern Europe ,,,,,
419,1967,Willemstad,Beam,Construction deficiencies,Steel,Total,Construction,Paises Bajos,Europe,Western and Central Europe,,,,,
420,1996,Koror Babeldaob,Beam,Construction deficiencies,Reinforced concrete,Partial,Construction,Palau,North America, Pacific Islands,,,,,
421,1847,Dee bridge,Beam,Construction deficiencies,Composite ,Total,Operational,United Kingdom,Europe,Northern Europe,,,,,
422,1970,Cleddau,Beam,Construction deficiencies,Reinforced concrete,Partial,Operational,United Kingdom,Europe,Northern Europe,,,,,
423,1849,Britannia,Truss,Construction deficiencies,Composite ,Partial,Construction,United Kingdom,Europe,Northern Europe,,,,,
424,1892,Strathglass,Truss,Construction deficiencies,Composite ,Total,Construction,United Kingdom,Europe,Northern Europe,,,,,
425,1959,Barton,Not defined,Construction deficiencies,Not defined,Partial,Construction,United Kingdom,Europe,Northern Europe,,,,,
426,1962,Fife,Not defined,Construction deficiencies,Not defined,Partial,Construction,United Kingdom,Europe,Northern Europe,,,,,
427,1967,Calder,Beam,Construction deficiencies,Reinforced concrete,Partial,Construction,United Kingdom,Europe,Northern Europe,,,,,
428,1970,Cleddau,Not defined,Construction deficiencies,Not defined,Total,Construction,United Kingdom,Europe,Northern Europe,,,,,
429,1972,A329,Not defined,Construction deficiencies,Reinforced concrete,Partial,Construction,United Kingdom,Europe,Northern Europe,,,,,
430,1892,Ljubitschewo,Beam,Construction deficiencies,Not defined,Partial,Construction,Serbia,Europe,Southern Europe,,,,,
431,1893,Morava,Not defined,Construction deficiencies,Not defined,Total,Operational,Serbia,Europe,Southern Europe,,,,,
432,1998,Injaka,Beam,Construction deficiencies,Reinforced concrete,Total,Construction,South Africa,Africa,Southern Africa,,,,,
433,1959,Goteborg,Arch,Construction deficiencies,Not defined,Partial,Construction,Sweden,Europe,Northern Europe,,,,,
434,1884,Salez,Truss,Construction deficiencies,Steel,Total,Construction,Switzerland,Europe,Western and Central Europe ,,,,,
435,1913,Gütikhausen,Truss,Construction deficiencies,Steel,Total,Construction,Switzerland,Europe,Western and Central Europe ,,,,,
436,1973,Illarsaz,Beam,Construction deficiencies,Reinforced concrete,Total,Construction,Switzerland,Europe,Western and Central Europe ,,,,,
437,1973,Valengin,Beam,Construction deficiencies,Reinforced concrete,Total,Construction,Switzerland,Europe,Western and Central Europe ,,,,,
438,No date,no definido,Truss,Construction deficiencies,Wood,Total,Operational,Turkye,Europe/Asia,Western Asia/ Eastern Europe ,,,,,
439,No date,no definido,Truss,Construction deficiencies,Wood,Total,Operational,Turkye,Europe/Asia,Western Asia/ Eastern Europe ,,,,,
440,No date,no definido,Beam,Construction deficiencies,Reinforced concrete,Total,Operational,Turkye,Europe/Asia,Western Asia/ Eastern Europe ,,,,,
441,1882,New Jersey,Trestle,Construction deficiencies,Steel,Partial,Operational,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
442,1927,Ohio,Truss,Construction deficiencies,Steel,Partial,Construction,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
443,1965,Kansas,Arch,Construction deficiencies,Reinforced concrete,Partial,Operational,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
444,1972,California,Beam,Construction deficiencies,Reinforced concrete,Partial,Construction,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
445,1887,Virginia,Truss,Construction deficiencies,Steel,Partial,Construction,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
446,1949,West Virginia,Truss,Construction deficiencies,Reinforced concrete,Partial,Construction,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
447,1975,Minnesota,Beam,Construction deficiencies,Reinforced concrete,Partial,Operational,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
448,1982,Indiana,Beam,Construction deficiencies,Reinforced concrete,Partial,Construction,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
449,1982,Michigan,Beam,Construction deficiencies,Reinforced concrete,Partial,Construction,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
450,1985,Colorado,Beam,Construction deficiencies,Reinforced concrete,Partial,Construction,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
451,1988,Washington,Beam,Construction deficiencies,Reinforced concrete,Partial,Construction,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
452,1989,California,Beam,Construction deficiencies,Reinforced concrete,Partial,Construction,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
453,2004,Nebraska,Beam,Construction deficiencies,Reinforced concrete,Partial,Construction,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
454,2020,Florida,Not defined,Construction deficiencies,Not defined,Partial,Operational,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
455,1982,New York,Not defined,Construction deficiencies,Not defined,Partial,Construction,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
456,1987,Texas,Not defined,Construction deficiencies,Not defined,Partial,Construction,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
457,1993,New Hampshire,Truss,Construction deficiencies,Steel,Total,Construction,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
458,1911,California,Arch,Construction deficiencies,Steel,Total,Construction,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
459,1995,California,Truss,Construction deficiencies,Reinforced concrete,Total,Operational,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
460,2018,Florida,Truss,Construction deficiencies,Reinforced concrete,Total,Operational,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
461,1892,Georgia,Suspension,Construction deficiencies,Steel,Total,Construction,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
462,1894,Ohio,Truss,Construction deficiencies,Steel,Total,Operational,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
463,2007,Minnesota,Arch,Construction deficiencies,Reinforced concrete,Total,Operational,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
464,1952,Massachusetts,Beam,Construction deficiencies,Reinforced concrete,Total,Construction,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
465,1989,Maryland,Beam,Construction deficiencies,Reinforced concrete,Total,Construction,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
466,1995,Tennessee,Beam,Construction deficiencies,Reinforced concrete,Total,Construction,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
467,1921,Pennsylvania,Beam,Construction deficiencies,Wood,Total,Operational,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
468,1950,Oregon,Truss,Construction deficiencies,Wood,Total,Operational,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
469,1970,Illinois,Not defined,Construction deficiencies,Not defined,Total,Operational,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
470,1974,Welland  Canal,Truss,Construction deficiencies,Steel,Total,Operational,Canada,North America,Canada British Columbia/ Canada Prairies/ Canada Ontario/ Canada Québec/ Canada Atlantic/ Canada Western Arctic/ Canada Eastern Arctic,,,,,
471,1966,Aachen,Truss,Deterioration,Reinforced concrete,Total,Operational,Belgium,Europe,Western and Central Europe,,,,,
472,2021,Mexico City Metro,Beam,Deterioration,Reinforced concrete,Partial,Operational,Mexico,North America,Mexico Northwest/ Mexico North/ Mexico Northeast/ Mexico Southeast/ Mexico Southwest/ Mexico Veracruz/ Mexico Centre,,,,,
473,2021,Salmysh,Beam,Deterioration,Reinforced concrete,Partial,Operational,Russia,Europe,North Asia/ Eastern Europe,,,,,
474,1904,Colorado,Beam,Deterioration,Wood,Total,Operational,USA,North America,US Midwest/ US Northwest/ US Northern Great Plains/ US Northeast/ US Southwest/ US Southern Great Plains/ US Arctic (Alaska)/ US Southeast/ US Hawaii,,,,,
475,1970,A1,Beam,Design error,Reinforced concrete,Total,Operational,Germany,Europe,Western and Central Europe ,,,,,
476,1833,Chain suspension br. In Nassau/ wooden deck,Truss,Design error,Steel,Total,Operational,Germany,Europe,Western and Central Europe ,,,,,
477,1923,Kiaochow,Arch,Design error,Steel,Partial,Operational,China,Asia,East Asia ,,,,,
478,1997,Second Yibin Bridge,Truss,Design error,Reinforced concrete,Total,Operational,China,Asia,East Asia ,,,,,
479,1850,Angers,Suspension,Design error,Wood,Total,Operational,France,Europe,Western and Central Europe,,,,,
480,1907,La rasse,Truss,Design error,Steel,Total,Construction,France,Europe,Western and Central Europe,,,,,
481,1884,Viaduc d’Evaux-les-Bains,Truss,Design error,Steel,Total,Operational,France,Europe,Western and Central Europe,,,,,
